Состояние,Бренд,Оперативная память (ГБ),Частота процессора,Количество ядер,Видеокарта,Тип,Накопитель,Объем накопителя,Price
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,512,48000
Б/у,NotApple,2,1.2,2,4.7,Ноутбук,HDD,128,12000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,256,9500
Б/у,Apple,16,2.7,4,4.7,Ноутбук,SSD,256,34000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,512,14800
Б/у,NotApple,8,2.7,8,4.7,Ноутбук,HDD,256,19000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,1000,15000
Б/у,Apple,8,2.2,4,4.7,Ноутбук,Другой тип накопителя,128,70000
Б/у,NotApple,8,1.2,4,4.7,Ультрабук,SSD,512,45000
Б/у,Apple,8,3.2,8,4.7,Ноутбук,HDD,256,104000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,11700
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,12500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,10700
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,512,14000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15000
Б/у,NotApple,4,2.2,4,110,Ноутбук,HDD,512,12500
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,16,3.2,4,80.5,Ноутбук,HDD + SSD,1000,68000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,19000
Б/у,NotApple,4,2.7,2,4.7,Ноутбук,HDD,512,9500
Б/у,NotApple,8,3.2,2,4.7,Ноутбук,HDD,512,22000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,11000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,24000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,HDD,128,16000
Б/у,NotApple,2,1.2,4,4.7,Ноутбук,HDD + SSD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,17000
Б/у,NotApple,4,2.2,4,4.7,Ультрабук,HDD,1000,23000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,23800
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,HDD + SSD,1000,28000
Б/у,NotApple,4,1.2,2,110,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12500
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,256,24000
Б/у,NotApple,16,1.7,8,16.7,Ультрабук,SSD,512,48000
Б/у,Apple,16,2.7,4,4.7,Ультрабук,SSD,512,67600
Б/у,NotApple,4,2.7,4,4.7,Ультрабук,HDD,512,16000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,256,15000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15000
Новый,NotApple,8,3.2,6,4.7,Ноутбук,SSD,256,57200
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,SSD,256,34500
Б/у,NotApple,16,2.2,12,46.7,Ноутбук,HDD + SSD,1000,90000
Б/у,NotApple,16,3.2,4,7.72,Ультрабук,SSD,512,83200
Новый,NotApple,8,3.2,8,28,Ноутбук,HDD,1000,58000
Б/у,NotApple,8,2.7,4,27.1,Ноутбук,HDD + SSD,512,16000
Б/у,NotApple,4,2.2,4,30.9,Ноутбук,HDD,512,18000
Новый,Apple,8,3.2,8,4.7,Ультрабук,SSD,256,98800
Б/у,Apple,16,3.2,4,110,Ноутбук,SSD,256,65000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD + SSD,512,12000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD + SSD,128,28500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,16500
Б/у,NotApple,4,1.7,4,4.7,Ультрабук,HDD,512,18000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,128,16600
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,1000,23600
Б/у,NotApple,8,2.2,8,4.7,Ноутбук,HDD,1000,25000
Б/у,Apple,8,3.2,4,4.7,Ноутбук,SSD,512,85500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,11000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,23800
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,17999
Б/у,Apple,8,2.2,8,4.7,Ноутбук,HDD,128,69000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Новый,NotApple,8,2.2,4,7.72,Ноутбук,HDD + SSD,256,52000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD + SSD,1000,32000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,512,28000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD + SSD,1000,32000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,HDD + SSD,1000,30000
Б/у,NotApple,8,2.2,4,4.81,Ноутбук,HDD,1000,15500
Б/у,NotApple,4,2.2,4,30.9,Ноутбук,HDD,512,20500
Б/у,NotApple,8,2.7,4,27.1,Ноутбук,HDD + SSD,128,24000
Б/у,NotApple,12,2.2,8,4.7,Ноутбук,HDD + SSD,128,35000
Б/у,NotApple,4,2.2,4,4.7,Ультрабук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,256,10000
Б/у,NotApple,8,2.7,8,43.3,Ноутбук,SSD,512,75000
Новый,NotApple,16,2.2,8,4.7,Ноутбук,SSD,256,55000
Б/у,NotApple,6,1.7,4,4.81,Ноутбук,HDD + SSD,512,10000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,128,25000
Б/у,NotApple,4,2.2,4,4.7,Ультрабук,HDD,1000,23000
Б/у,NotApple,4,1.7,2,4.7,Ультрабук,HDD,512,19500
Новый,NotApple,16,3.2,12,7.72,Ультрабук,SSD,512,92000
Б/у,Apple,8,2.2,4,4.7,Ноутбук,SSD,128,57200
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,HDD,512,16999
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,256,20000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,128,20000
Б/у,NotApple,4,2.7,4,4.7,Ультрабук,HDD,1000,22000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,15000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15500
Новый,NotApple,16,3.2,4,72.6,Ноутбук,SSD,512,95000
Новый,NotApple,16,2.2,4,4.7,Ноутбук,SSD,512,93000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,HDD,128,25000
Б/у,Apple,16,3.2,2,4.7,Ультрабук,SSD,512,85000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,Другой тип накопителя,128,25000
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,SSD,512,27000
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,HDD + SSD,128,16999
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,256,22000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,256,25000
Б/у,NotApple,16,3.2,8,208,Ноутбук,SSD,256,156000
Б/у,NotApple,6,2.2,2,4.7,Ноутбук,HDD,512,15000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,128,15000
Б/у,NotApple,8,2.7,2,16.7,Ноутбук,HDD,1000,34900
Б/у,NotApple,8,2.2,4,30.9,Ноутбук,HDD,128,48880
Б/у,Apple,8,2.7,2,4.7,Ноутбук,SSD,128,41496
Б/у,NotApple,2,2.7,2,4.7,Ноутбук,Другой тип накопителя,256,10000
Б/у,NotApple,16,2.2,12,46.7,Ноутбук,HDD + SSD,1000,90000
Б/у,NotApple,12,2.7,4,27.1,Ноутбук,SSD,512,75000
Б/у,NotApple,8,3.2,12,43.3,Ноутбук,SSD,512,72000
Б/у,NotApple,16,3.2,4,4.7,Ноутбук,SSD,512,58000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,256,12000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,256,25000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,SSD,128,13500
Б/у,NotApple,4,3.2,4,4.7,Ноутбук,HDD,1000,44000
Б/у,NotApple,4,2.2,4,4.7,Ультрабук,SSD,128,20000
Б/у,Apple,16,3.2,4,110,Ноутбук,SSD,256,65000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,26000
Б/у,Apple,8,2.2,4,4.7,Ультрабук,SSD,128,65000
Б/у,NotApple,16,2.2,4,4.7,Ноутбук,HDD,1000,35000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук + планшет,HDD,1000,20000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD + SSD,128,18500
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,256,34000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,256,13500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,16500
Б/у,NotApple,4,1.7,4,4.7,Ультрабук,HDD,512,18000
Б/у,NotApple,8,2.2,4,26.6,Ноутбук,HDD + SSD,128,42000
Б/у,NotApple,16,3.2,6,72.6,Ноутбук,SSD,1000,104000
Новый,NotApple,4,2.7,2,4.7,Ноутбук,HDD,1000,27500
Новый,NotApple,8,3.2,8,28,Ноутбук,HDD,1000,58000
Новый,NotApple,8,3.2,4,4.7,Ноутбук,SSD,256,56000
Новый,NotApple,8,3.2,6,43.3,Ноутбук,SSD,512,85000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,SSD,128,8500
Новый,NotApple,16,3.2,8,4.7,Ноутбук,SSD,256,63500
Новый,NotApple,32,3.2,12,36.4,Ноутбук,HDD + SSD,1000,99500
Б/у,NotApple,16,3.2,4,7.72,Ультрабук,SSD,512,83200
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,SSD,128,20000
Б/у,NotApple,16,2.2,6,4.7,Ноутбук,SSD,512,80000
Новый,Apple,16,3.2,8,4.7,Ультрабук,SSD,512,207896
Б/у,Apple,8,3.2,8,4.7,Ультрабук,SSD,512,131040
Б/у,NotApple,8,3.2,8,4.7,Ноутбук,HDD + SSD,1000,35000
Б/у,NotApple,16,2.7,8,27.1,Ноутбук,HDD + SSD,1000,59500
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,SSD,256,36000
Б/у,Apple,16,2.7,4,4.7,Ноутбук,SSD,512,101920
Б/у,Apple,8,2.2,8,4.7,Ноутбук,SSD,256,92560
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,22000
Новый,Apple,8,3.2,8,4.7,Ультрабук,SSD,256,98800
Б/у,NotApple,16,2.7,4,16.7,Ноутбук,SSD,512,58000
Б/у,NotApple,4,2.2,2,4.7,Ультрабук,SSD,128,25000
Б/у,Apple,8,2.2,4,4.7,Ультрабук,SSD,128,65000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,19000
Б/у,NotApple,16,2.7,4,110,Ноутбук,HDD,1000,35000
Б/у,NotApple,4,2.7,4,16.7,Ноутбук,HDD,1000,44000
Б/у,NotApple,6,2.7,4,16.7,Ноутбук,HDD,512,22000
Б/у,Apple,8,3.2,4,4.7,Трансформер,HDD,1000,74000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,23000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,SSD,512,7500
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,SSD,512,50000
Б/у,NotApple,16,3.2,4,30.9,Ноутбук,HDD + SSD,1000,62900
Б/у,NotApple,16,2.7,8,4.7,Ноутбук,HDD,1000,41500
Б/у,NotApple,8,2.2,4,4.81,Ноутбук,SSD,512,65000
Б/у,Apple,16,3.2,4,110,Ноутбук,SSD,256,65000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,26000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,128,5000
Б/у,NotApple,4,1.7,4,4.7,Ультрабук,SSD,128,16500
Б/у,Apple,8,2.7,2,4.7,Ноутбук,SSD,256,62400
Б/у,NotApple,16,2.7,4,4.7,Ноутбук,HDD + SSD,1000,42000
Б/у,NotApple,4,2.7,4,110,Ноутбук,HDD,512,13999
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,18000
Б/у,NotApple,8,3.2,4,4.7,Ультрабук,SSD,512,40000
Требуется ремонт,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,13000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,SSD,128,16000
Новый,NotApple,8,3.2,4,4.7,Ноутбук,SSD,256,68640
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,SSD,128,16000
Новый,NotApple,8,3.2,4,4.7,Ноутбук,SSD,256,68640
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,512,16000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,128,23000
Б/у,NotApple,2,1.7,4,4.7,Ноутбук,HDD,512,15000
Б/у,NotApple,16,3.2,4,4.7,Ультрабук,SSD,256,57000
Б/у,NotApple,16,3.2,8,4.7,Ноутбук,HDD + SSD,1000,62400
Б/у,NotApple,8,1.7,2,4.7,Ноутбук,HDD + SSD,128,25000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,512,48000
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,HDD,1000,27000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,256,30000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,1000,22000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD + SSD,512,15500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,256,15800
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,128,23000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,SSD,256,11500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD + SSD,128,10000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,26000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,512,20000
Б/у,Apple,8,3.2,8,4.7,Ноутбук,SSD,256,114400
Б/у,Apple,8,2.7,2,4.7,Ноутбук,SSD,512,57200
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,18000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,10000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,15000
Б/у,Apple,16,2.7,4,4.7,Ноутбук,SSD,256,60320
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,512,14500
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,16000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,16000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,17000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,1000,16000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,15000
Новый,Apple,12,2.7,8,4.7,Ноутбук,HDD + SSD,256,96000
На запчасти,NotApple,2,1.7,2,4.7,Нетбук,Другой тип накопителя,128,2000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,40000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,16000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,17000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,1000,16000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,15000
Новый,Apple,12,2.7,8,4.7,Ноутбук,HDD + SSD,256,96000
На запчасти,NotApple,2,1.7,2,4.7,Нетбук,Другой тип накопителя,128,2000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,40000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,SSD,128,30000
Новый,NotApple,4,3.2,2,4.7,Ноутбук,SSD,128,29500
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,128,35000
Б/у,Apple,2,3.2,4,27.1,Ноутбук,HDD,128,5500
Б/у,NotApple,16,3.2,8,76.5,Ноутбук,SSD,512,98800
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,SSD,128,22000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Новый,NotApple,8,2.7,6,42.6,Ноутбук,HDD + SSD,512,60000
Б/у,Apple,8,2.2,4,4.7,Ноутбук,SSD,256,60000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,17000
Б/у,NotApple,2,1.2,2,4.7,Ноутбук,HDD,128,12000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD + SSD,1000,12999
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,SSD,256,28000
Б/у,NotApple,4,2.7,4,4.7,Ультрабук,HDD,512,29000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,512,18000
Новый,Apple,2,1.2,2,4.81,Ноутбук,Другой тип накопителя,128,1550
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,256,9500
Б/у,NotApple,4,2.7,4,4.7,Ультрабук,SSD,1000,35000
Б/у,Apple,16,2.7,4,4.7,Ноутбук,SSD,256,34000
Б/у,NotApple,8,3.2,4,27.1,Ноутбук,SSD,256,57900
Б/у,Apple,4,1.7,2,4.7,Ультрабук,SSD,256,23000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,2,16.7,Ноутбук,SSD,128,28000
Б/у,Apple,8,2.2,2,4.7,Ноутбук,SSD,128,75000
Новый,NotApple,8,3.2,4,4.7,Ультрабук,HDD,1000,35000
Б/у,NotApple,8,2.2,4,4.7,Ультрабук,SSD,128,37000
Б/у,NotApple,8,3.2,8,26.6,Ноутбук,HDD + SSD,256,20000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,57000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,45000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,512,14800
Б/у,NotApple,8,2.7,8,4.7,Ноутбук,HDD,256,19000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,512,50000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,20000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,1000,15000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,512,45000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,128,21000
Б/у,NotApple,4,2.2,8,4.7,Ноутбук,HDD,256,12000
Б/у,Apple,8,2.2,4,4.7,Ноутбук,Другой тип накопителя,128,70000
Б/у,Apple,8,1.7,2,4.7,Ноутбук,SSD,256,55000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,256,15000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,55000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,256,8699
Б/у,NotApple,8,2.2,4,42.6,Ноутбук,HDD,1000,40000
Б/у,NotApple,4,2.2,4,28,Ноутбук,SSD,256,35000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,26000
Б/у,NotApple,8,1.2,4,4.7,Ультрабук,SSD,512,45000
Б/у,NotApple,4,1.7,2,4.7,Ультрабук,HDD,512,19500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,128,23000
Б/у,NotApple,16,2.2,12,46.7,Ноутбук,HDD + SSD,1000,90000
Новый,NotApple,8,3.2,2,4.7,Ноутбук,SSD,256,30000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,256,13500
На запчасти,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,6500
Новый,NotApple,8,2.2,6,4.7,Ноутбук,SSD,512,48000
Б/у,NotApple,6,2.7,4,208,Ноутбук,HDD,512,14999
Б/у,Apple,8,3.2,2,4.7,Ноутбук,SSD,256,98800
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,1000,18500
Б/у,NotApple,8,2.2,4,4.7,Ноутбук + планшет,SSD,128,46800
Б/у,NotApple,16,3.2,6,106,Ноутбук,SSD,1000,150000
Б/у,Apple,8,2.2,4,4.7,Ноутбук,HDD,512,16000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,32999
Б/у,NotApple,2,1.2,2,4.7,Ноутбук,HDD,128,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,Apple,8,1.2,2,4.7,Ноутбук,HDD,256,70000
Б/у,Apple,4,2.7,2,4.7,Ноутбук,HDD,512,29000
Б/у,NotApple,6,2.7,4,4.7,Ноутбук,HDD,512,14000
Б/у,Apple,8,2.2,8,4.7,Ноутбук,SSD,128,62400
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,256,42000
Б/у,Apple,8,2.7,4,4.7,Ультрабук,SSD,256,52000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,512,15000
Б/у,Apple,8,3.2,8,4.7,Ноутбук,SSD,512,124800
Б/у,NotApple,8,2.2,8,4.7,Ультрабук,SSD,256,48000
Б/у,Apple,8,2.2,2,4.7,Ноутбук,SSD,128,59000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,128,30000
Б/у,NotApple,6,2.7,4,4.7,Ноутбук,SSD,512,11500
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,512,18000
Б/у,Apple,8,2.7,2,4.7,Ультрабук,SSD,128,32000
Новый,NotApple,4,1.2,2,16.7,Ноутбук,SSD,256,40000
Б/у,Apple,8,3.2,8,4.7,Ноутбук,HDD,256,104000
Б/у,Apple,16,3.2,4,110,Ноутбук,SSD,256,65000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,HDD,512,12000
Б/у,Apple,4,2.2,2,4.7,Ноутбук,SSD,128,38000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,256,15000
Б/у,NotApple,16,2.2,8,46.7,Ноутбук,HDD + SSD,1000,80000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,16500
Б/у,NotApple,4,2.7,2,4.7,Ноутбук,HDD,512,8000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,256,13000
Б/у,NotApple,6,2.7,4,4.7,Ноутбук,HDD + SSD,1000,54392
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,18000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,18000
Б/у,NotApple,16,3.2,6,98.3,Ноутбук,SSD,512,150800
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,HDD + SSD,128,15999
Б/у,Apple,4,2.2,4,4.7,Ультрабук,SSD,256,122000
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,HDD,1000,52000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,128,25000
Требуется ремонт,NotApple,8,3.2,4,4.7,Ультрабук,SSD,128,25000
Б/у,NotApple,2,3.2,2,4.7,Ноутбук,HDD,512,15000
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,HDD,1000,52000
Б/у,NotApple,8,2.2,6,4.7,Ноутбук,SSD,512,48500
Б/у,Apple,8,3.2,8,4.7,Ноутбук,HDD,256,104000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,16,2.2,12,46.7,Ноутбук,HDD + SSD,1000,90000
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,Другой тип накопителя,512,22000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,23800
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15500
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,HDD,512,13000
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,HDD + SSD,1000,18000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,6,2.7,4,4.7,Ноутбук,HDD + SSD,128,34000
Б/у,NotApple,4,3.2,4,4.7,Ноутбук,SSD,512,16000
Новый,NotApple,8,3.2,6,72.6,Ноутбук,SSD,512,114400
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Новый,NotApple,16,2.2,4,7.72,Ультрабук,SSD,512,99000
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,HDD + SSD,512,48000
Б/у,NotApple,16,2.7,4,4.7,Ультрабук,SSD,256,62000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,256,49000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,46000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD,512,31000
Б/у,NotApple,16,2.2,4,4.7,Ультрабук,SSD,512,65000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,16,1.7,4,4.7,Ноутбук,SSD,512,45000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,63000
Б/у,Apple,16,2.7,4,4.7,Ультрабук,SSD,256,92000
Б/у,Apple,16,2.7,4,42.6,Ноутбук,SSD,1000,92000
Б/у,Apple,16,2.7,4,42.6,Ноутбук,SSD,512,69000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,256,41000
Б/у,Apple,16,2.2,4,4.7,Ноутбук,HDD + SSD,1000,35000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,48000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,49000
