Состояние,Бренд,Оперативная память (ГБ),Частота процессора,Количество ядер,Видеокарта,Тип,Накопитель,Объем накопителя,Price
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,62000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,11700
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,12500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,10700
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,512,14000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD,1000,27000
Б/у,Apple,16,2.2,4,4.7,Ультрабук,SSD,512,86000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15000
Б/у,NotApple,4,2.2,4,110,Ноутбук,HDD,512,12500
Б/у,NotApple,2,1.7,2,4.7,Нетбук,Другой тип накопителя,128,3000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,2,1.7,2,4.7,Нетбук,Другой тип накопителя,128,3000
Б/у,NotApple,16,2.7,4,106,Ноутбук,Другой тип накопителя,1000,135200
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,128,23000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,4,1.2,4,4.7,Нетбук,HDD,1000,15000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,2,1.7,4,4.7,Ноутбук + планшет,SSD,128,8900
Б/у,NotApple,16,3.2,4,80.5,Ноутбук,HDD + SSD,1000,68000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD + SSD,512,35000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,1000,18500
Б/у,NotApple,4,2.7,2,4.7,Ноутбук,HDD + SSD,512,18000
Б/у,NotApple,16,2.2,4,4.7,Ультрабук,SSD,512,65000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12500
Новый,NotApple,4,3.2,2,4.7,Ноутбук,SSD,128,47840
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,1000,15500
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,1000,31200
На запчасти,Apple,8,2.2,2,4.7,Трансформер,HDD,128,5000
Б/у,NotApple,6,1.7,4,110,Ноутбук,HDD + SSD,1000,20000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Новый,NotApple,8,1.2,4,4.7,Ноутбук,SSD,1000,39000
Б/у,NotApple,8,3.2,6,43.3,Ноутбук,SSD,256,69500
Новый,NotApple,4,1.2,2,4.7,Ноутбук,HDD + SSD,512,20999
Б/у,NotApple,6,3.2,2,4.7,Ноутбук,HDD,1000,20000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,1000,21499
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,6,3.2,2,4.7,Ноутбук,HDD,1000,20000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,1000,21499
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,24500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD + SSD,512,17000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,512,16500
Б/у,Apple,4,1.7,2,4.7,Ультрабук,SSD,128,28000
Б/у,NotApple,4,2.7,8,4.7,Ноутбук,Другой тип накопителя,128,45000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,512,13500
Б/у,NotApple,8,2.2,4,4.7,Ультрабук,HDD,1000,42000
Б/у,Apple,16,3.2,4,110,Ноутбук,SSD,256,65000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,26000
Новый,NotApple,12,3.2,4,28,Ноутбук,SSD,1000,65000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,HDD,1000,24000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,8,2.2,4,30.9,Ноутбук,HDD + SSD,1000,58000
Б/у,Apple,16,2.7,4,4.7,Ноутбук,SSD,1000,62000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,256,33000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,SSD,128,12499
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,HDD,1000,28999
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,SSD,256,17999
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,HDD + SSD,128,19000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,8,2.7,4,76.5,Ноутбук,SSD,512,63000
Б/у,NotApple,4,2.2,4,16.7,Ноутбук,HDD,1000,26000
Б/у,NotApple,8,2.2,4,42.6,Ноутбук,HDD,1000,25000
Б/у,NotApple,8,2.2,4,4.7,Ультрабук,SSD,256,37000
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,45000
Новый,NotApple,4,1.7,4,4.7,Ноутбук,SSD,128,33000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,1000,14500
Б/у,NotApple,8,2.2,4,4.7,Ультрабук,SSD,256,34000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,SSD,128,20000
Б/у,NotApple,4,1.7,2,4.7,Ультрабук,HDD,512,19500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,19000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,16,3.2,6,43.3,Ноутбук,HDD + SSD,1000,83000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Новый,Apple,8,2.2,8,4.7,Ноутбук,SSD,256,111280
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,SSD,256,18200
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,SSD,256,49000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,256,20000
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,HDD,1000,30000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,128,6500
Б/у,NotApple,4,1.7,4,4.7,Нетбук,SSD,128,6000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,8,2.2,4,4.81,Ноутбук,HDD,1000,15500
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,45000
Б/у,NotApple,4,2.7,2,4.7,Ноутбук,HDD,512,9500
Б/у,NotApple,8,3.2,2,4.7,Ноутбук,SSD,256,25000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD,1000,22500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,23000
Б/у,NotApple,8,3.2,2,4.7,Ноутбук,HDD,512,22000
Новый,NotApple,2,1.7,4,4.7,Ноутбук,HDD,128,6000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,8,3.2,2,4.7,Ноутбук,SSD,256,25000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD,1000,22500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,23000
Б/у,NotApple,8,3.2,2,4.7,Ноутбук,HDD,512,22000
Новый,NotApple,2,1.7,4,4.7,Ноутбук,HDD,128,6000
Б/у,NotApple,12,3.2,4,4.7,Ноутбук,SSD,128,48000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,24000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,16,3.2,6,4.7,Ноутбук,SSD,512,54000
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,SSD,512,47000
Новый,NotApple,8,1.2,8,4.7,Ноутбук,HDD,1000,41496
Новый,NotApple,4,2.2,4,4.7,Ноутбук,Другой тип накопителя,128,31096
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,6,2.7,4,4.7,Ноутбук,HDD,512,35000
Новый,NotApple,16,2.2,4,4.7,Ультрабук,HDD + SSD,512,90000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,128,2500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,16500
Новый,NotApple,8,3.2,4,4.7,Ноутбук,SSD,256,65000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,Apple,16,2.2,4,4.7,Ультрабук,SSD,256,95000
Новый,NotApple,12,3.2,8,4.7,Ноутбук,SSD,1000,45000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,HDD,128,16000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,9000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,16,1.7,8,16.7,Ультрабук,SSD,512,48000
Б/у,Apple,8,3.2,8,4.7,Ноутбук,HDD,256,104000
Б/у,NotApple,4,1.7,2,4.7,Ультрабук,HDD,512,19500
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD + SSD,128,18500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,Apple,8,3.2,4,4.7,Ноутбук,SSD,256,104000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,18000
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,HDD,512,11999
Б/у,NotApple,4,1.2,4,4.7,Ультрабук,HDD,512,24500
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,SSD,256,10000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD + SSD,256,16000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,HDD,128,16000
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,SSD,256,37000
Б/у,NotApple,6,1.7,2,4.7,Ноутбук,SSD,128,16000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15500
Новый,NotApple,4,2.2,4,4.7,Ультрабук,SSD,128,18500
Б/у,NotApple,8,2.2,8,4.7,Ноутбук,HDD,1000,32000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,16,1.7,4,4.7,Ноутбук,HDD,512,40000
Б/у,Apple,32,2.2,8,4.7,Ноутбук,SSD,1000,187200
Б/у,Apple,16,2.7,12,4.7,Ноутбук,SSD,512,60000
Б/у,NotApple,8,2.2,8,4.7,Нетбук,HDD,128,30000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,256,11000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,22999
Б/у,Apple,16,2.2,4,4.7,Ноутбук,SSD,256,60000
Новый,NotApple,2,1.7,2,4.7,Нетбук,HDD + SSD,256,7000
Б/у,NotApple,8,1.7,2,4.7,Ноутбук,SSD,128,18000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,1.7,10,4.7,Ноутбук,Другой тип накопителя,1000,24800
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,256,52000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,HDD,512,18000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,HDD + SSD,1000,35000
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,HDD,512,21500
Б/у,NotApple,2,1.2,4,4.7,Ноутбук,HDD + SSD,512,12000
Б/у,NotApple,4,1.7,4,27.1,Ноутбук,SSD,256,15000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,1.2,8,4.7,Ноутбук,HDD,512,25000
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,HDD,512,21500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,3.2,4,4.7,Ноутбук,HDD,1000,30000
Новый,NotApple,8,2.2,4,43.3,Ноутбук,SSD,512,73000
Б/у,NotApple,4,1.7,4,4.7,Ультрабук,HDD,512,19500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,14999
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,SSD,128,18000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,256,28000
Б/у,NotApple,4,2.7,4,28,Ноутбук,HDD,1000,32000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,512,65000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,1000,6500
Б/у,NotApple,16,2.7,4,27.1,Ноутбук,SSD,256,62000
Б/у,NotApple,8,2.2,4,4.7,Ультрабук,SSD,128,21000
Новый,NotApple,8,2.2,2,4.7,Ультрабук,SSD,128,29000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD + SSD,1000,18000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,512,17000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,11000
Б/у,NotApple,16,2.2,12,46.7,Ноутбук,HDD + SSD,1000,90000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,8,4.7,Ноутбук,SSD,128,31000
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,10000
Б/у,Apple,8,2.2,4,4.7,Ноутбук,SSD,256,88000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,512,23000
Б/у,Apple,4,2.7,8,46.7,Ноутбук,SSD,128,37440
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,13500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,256,18000
Новый,NotApple,4,2.2,4,4.7,Ноутбук,SSD,256,23500
Б/у,NotApple,4,2.2,4,4.7,Ультрабук,SSD,128,15000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,10000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,16,1.7,8,16.7,Ультрабук,SSD,512,48000
Б/у,Apple,8,3.2,8,4.7,Ноутбук,HDD,256,104000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD + SSD,128,15000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,HDD + SSD,1000,25000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,256,9500
Б/у,NotApple,4,1.2,2,110,Ноутбук,HDD,512,12000
Б/у,Apple,8,2.2,4,4.7,Ультрабук,SSD,512,150000
Новый,NotApple,8,3.2,4,4.7,Ультрабук,SSD,256,44720
Б/у,NotApple,6,3.2,8,4.7,Ноутбук,HDD + SSD,1000,23000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,1.2,2,4.7,Ультрабук,HDD + SSD,512,24000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,512,19000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,256,14000
Новый,Apple,8,3.2,8,4.7,Ноутбук,SSD,512,133000
Б/у,Apple,4,1.7,2,4.7,Ультрабук,SSD,128,29500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,256,28000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,256,28000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,128,6000
Б/у,NotApple,12,2.7,4,46.7,Ноутбук,HDD + SSD,1000,65000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD + SSD,512,31000
Б/у,Apple,16,2.2,4,4.7,Ноутбук,SSD,256,62400
Б/у,NotApple,2,2.7,2,4.7,Ноутбук,SSD,128,18000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD,1000,23000
Б/у,NotApple,32,3.2,4,89,Ноутбук,HDD + SSD,256,84000
Новый,NotApple,8,3.2,4,4.7,Ноутбук,SSD,256,53000
Б/у,NotApple,2,1.2,2,4.7,Нетбук,HDD,1000,2500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,16,3.2,8,76.5,Ноутбук,SSD,1000,91000
Б/у,NotApple,16,3.2,4,30.9,Ноутбук,HDD + SSD,1000,64000
Новый,NotApple,8,2.2,8,98.3,Ноутбук,SSD,512,150000
Б/у,NotApple,4,2.2,4,28,Ноутбук,HDD,512,14200
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,512,15999
Новый,NotApple,8,3.2,8,98.3,Ноутбук,SSD,512,156000
Б/у,NotApple,6,1.7,4,4.7,Ноутбук,SSD,128,13200
Б/у,Apple,8,2.7,8,4.7,Ультрабук,SSD,256,46800
Б/у,NotApple,6,2.2,2,4.7,Ноутбук,HDD,512,18000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,512,28000
Б/у,NotApple,2,1.2,4,4.7,Ноутбук,HDD + SSD,512,12000
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,SSD,256,35000
Б/у,Apple,4,1.7,2,4.7,Ноутбук,SSD,128,20000
Новый,NotApple,8,2.7,4,4.7,Ноутбук,SSD,256,55000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,512,16000
Б/у,NotApple,4,3.2,4,4.7,Ноутбук,SSD,128,16500
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,HDD + SSD,512,20000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,10000
Б/у,NotApple,4,2.7,4,110,Ноутбук,HDD,256,9000
Б/у,NotApple,6,3.2,4,4.7,Ноутбук,HDD,512,17000
Б/у,NotApple,4,2.2,4,27.1,Ультрабук,HDD,1000,25000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,256,24000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,22000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,256,24000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,22000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,512,28000
Б/у,NotApple,4,1.7,4,4.7,Ультрабук,HDD,512,18000
Б/у,NotApple,8,2.2,8,43.3,Ноутбук,SSD,512,60000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,2,1.2,2,4.7,Ноутбук,HDD,128,6000
Б/у,NotApple,8,3.2,4,4.7,Ультрабук,SSD,512,50000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,14000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,256,38000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,Apple,16,2.7,4,110,Ноутбук,SSD,512,114400
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,128,10000
Б/у,NotApple,16,3.2,4,28,Ноутбук,SSD,512,55000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Новый,NotApple,8,2.7,4,4.7,Ультрабук,SSD,256,30000
Б/у,NotApple,16,2.2,12,46.7,Ноутбук,HDD + SSD,1000,90000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD + SSD,128,18500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,2,1.2,2,4.7,Ноутбук,Другой тип накопителя,128,5000
Б/у,NotApple,2,1.2,2,4.7,Ноутбук,Другой тип накопителя,128,5000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,Apple,8,3.2,2,4.7,Ноутбук,SSD,256,72800
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,HDD + SSD,128,30000
Б/у,NotApple,8,2.7,8,30.9,Ноутбук,HDD,1000,60000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,16000
Б/у,NotApple,4,2.7,4,110,Ноутбук,SSD,256,14000
Б/у,NotApple,12,3.2,8,4.7,Ноутбук,HDD + SSD,128,30000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,1000,14000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,256,3300
Б/у,NotApple,8,2.2,4,42.6,Ноутбук,HDD,512,20000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,10000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,512,28000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,1.7,4,4.7,Ноутбук,HDD,512,17000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,256,12500
Новый,NotApple,32,3.2,4,4.7,Ноутбук,SSD,256,66000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Новый,NotApple,4,1.2,4,4.7,Ноутбук,HDD,1000,23000
Б/у,Apple,8,1.7,2,4.7,Ноутбук,SSD,128,78000
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,SSD,256,20000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,SSD,128,26000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
